
    Row    Instance         XX         YY         ZZ         TT         TY 
        0        48  0.0002293  0.0112423  1.801e-05  2.8047182          4 
        0        49  -0.000534  0.0115145  1.931e-05  2.7439067          4 
        0        50  -1.36e-05  0.0117717  -2.08e-05  2.9182422          4 
        0        51  0.0006792  0.0115824  0.0001829  3.0689363          4 
        0        52  -0.000150  0.0121321  0.0004982  3.0666620          4 
        0        53  0.0014179  0.0118770  0.0002293  3.1934897          4 
        0        54  -0.000342  0.0124468  0.0004859  3.2267799          4 
        0        55  0.0011619  0.0122735  -0.000174  3.3645041          4 
        0        56  0.0013238  0.0126136  -6.93e-06  3.4251360          4 
        0        57  -0.000237  0.0128440  0.0008071  3.5013487          4 
        0        58  0.0003023  0.0132062  0.0011425  3.7255003          4 
        0        59  0.0009168  0.0130278  0.0004109  3.7106583          4 
        0        60  0.0002297  0.0135787  0.0008707  3.9460034          4 
        0        61  0.0011228  0.0133707  0.0004811  3.7812669          4 
        0        62  0.0001384  0.0139805  0.0007128  4.0911645          4 
        0        63  0.0010213  0.0137817  0.0003846  4.0830822          4 
        0        64  0.0015264  0.0141149  0.0002799  4.1830129          4 
        0        65  0.0006894  0.0143702  0.0007019  4.5131135          4 
        0        66  0.0017529  0.0144958  0.0002936  4.2983632          4 
        0        67  0.0014452  0.0148057  0.0005321  4.9588379          4 
        0        68  0.0010297  0.0150869  0.0002784  4.7027120          4 
        0        69  0.0012390  0.0155323  0.0013133  4.8830709          4 
        0        70  0.0006739  0.0152777  0.0002292  5.6993379          4 
        0        71  0.0019508  0.0160723  0.0020633  5.5851273          4 
        0        72  0.0012421  0.0156903  0.0014483  6.3347559          4 
        0        73  0.0025668  0.0160299  0.0016937  6.7030587          4 
        0        74  0.0031215  0.0163624  0.0022264  6.5218820          4 
        0        75  0.0033603  0.0167591  0.0034184  7.3772659          4 
        0        76  0.0023606  0.0165652  0.0026924  7.7718143          4 
        0        77  0.0024996  0.0169995  0.0025845  7.9151487          4 
        0        78  0.0025747  0.0174613  0.0023241  8.1061763          4 
        0        79  0.0045329  0.0169754  0.0046221  8.2561216          4 
        0        80  0.0027504  0.0179714  0.0024424   8.235569          4 
        0        81  0.0030978  0.0184745  0.0031990  8.7929420          4 
        0        82  0.0032298  0.0189844  0.0036032  9.7514696          4 
        0        83  0.0054676  0.0172875  0.0055719  10.112866          4 
        0        84  0.0033211  0.0196092  0.0037719  10.665854          4 
        0        85  0.0036574  0.0201229  0.0037160  10.777832          4 
        0        86  0.0056000  0.0178650  0.0057831  10.606063          4 
        0        87  0.0035770  0.0207097  0.0041118  10.961781          4 
        0        88  0.0040958  0.0211420  0.0039053  11.068337          4 
        0        89  0.0049285  0.0216220  0.0045845  11.729522          4 
        0        90  0.0050370  0.0185595  0.0060260  11.280592          4 
        0        91  0.0049137  0.0191939  0.0066802  11.675479          4 
        0        92  0.0047099  0.0223518  0.0049066  12.384059          4 
        0        93  0.0053635  0.0228493  0.0059517  12.910709          4 
        0        94  0.0032291  0.0202378  0.0068281  12.883204          4 
        0        95  0.0053134  0.0236156  0.0056444  14.060637          4 
        0        96  0.0035061  0.0207956  0.0069710  13.271668          4 
        0        97  0.0037005  0.0213468  0.0071312  13.353310          4 
        0        98  0.0052949  0.0244884  0.0047126  15.444088          4 
        0        99  0.0035209  0.0220215  0.0064648  14.669025          4 
        0       100  0.0046234  0.0253015  0.0030482  16.702047          4 
        0       101  0.0034654  0.0227245  0.0065495  15.240731          4 
        0       102  0.0032435  0.0234104  0.0058851  15.621093          4 
        0       103  0.0047568  0.0260704  0.0014808  17.607227          4 
        0       104  0.0035830  0.0240794  0.0056433  15.937812          4 
        0       105  0.0055171  0.0267349  0.0007557  19.041683          4 
        0       106  0.0041217  0.0246870  0.0063569  17.036060          4 
        0       107  0.0064326  0.0274016  0.0008569  19.343574          4 
        0       108  0.0065147  0.0281915  0.0009212  20.022817          4 
        0       109  0.0038186  0.0255826  0.0071846  17.926340          4 
        0       110  0.0032698  0.0264027  0.0074944  18.909322          4 
        0       111  0.0067097  0.0290277  0.0025158  20.716218          4 
        0       112  0.0066040  0.0298861  0.0022051  20.947301          4 
        0       113  0.0069855  0.0307066  0.0015485  21.261871          4 
        0       114  0.0044495  0.0270952  0.0067229  20.518682          4 
        0       115  0.0056836  0.0276330  0.0068429  21.213996          4 
        0       116  0.0067681  0.0319762  0.0004422  23.929363          4 
        0       117  0.0076777  0.0327734  0.0001508  24.552366          4 
        0       118  0.0078303  0.0281196  0.0074374  23.666097          4 
        0       119  0.0068099  0.0292450  0.0090578  24.391042          4 
        0       120  0.0058322  0.0342574  0.0011898  27.111566          4 
        0       121  0.0075167  0.0301706  0.0088853  25.395359          4 
        0       122  0.0060616  0.0353107  0.0009470  27.596643          4 
        0       123  0.0050931  0.0366613  0.0003373  29.772222          4 
        0       124  0.0077163  0.0312031  0.0096413  27.864421          4 
        0       125  0.0088125  0.0318718  0.0088876  28.404048          4 
        0       126  0.0052879  0.0378782  0.0002100  30.920938          4 
        0       127  0.0070982  0.0336716  0.0091642  30.721986          4 
        0       128  0.0065403  0.0348632  0.0079968  31.714185          4 
        0       129  0.0043636  0.0395551  0.0001226  34.367988          4 
        0       130  0.0054514  0.0359805  0.0072702  32.783878          4 
        0       131  0.0038996  0.0373357  0.0078785  34.720008          4 
        0       132  0.0044559  0.0408768  0.0011476  37.906353          4 
        0       133  0.0057596  0.0382353  0.0081621  36.149650          4 
        0       134  0.0058495  0.0394431  0.0075286  37.346649          4 
        0       135  0.0037949  0.0410876  0.0102095  40.399841          4 
        0       136  0.0048869  0.0423274  0.0107925  41.924560          4 
        0       137  0.0039376  0.0436042  0.0109539  42.760448          4 
        0       138  0.0054908  0.0427463  -0.003290  45.848896          4 
        0       139  0.0032430  0.0453658  0.0091505  46.642173          4 
        0       140  0.0043814  0.0466774  0.0096043  47.173168          4 
        0       141  0.0033099  0.0492103  0.0076570  54.590824          4 
        0       142  0.0059972  0.0454816  -0.004035  61.583728          4 
        0       143  0.0039829  0.0510581  0.0108835  58.847057          4 
        0       144  0.0073717  0.0471020  -0.002829  64.237609          4 
        0       145  0.0051372  0.0526725  0.0098382  59.719852          4 
        0       146  0.0073471  0.0541961  0.0124188  62.410995          4 
        0       147  0.0075176  0.0559604  0.0121743  64.688568          4 
        0       148  0.0073588  0.0491714  -0.003249  68.772865          4 
